MLS,CurrentPrice,SquareFeet,Bedrooms,Bathrooms,Garage,YearBuilt,LotSize,Taxes,DaysonMarket,OriginalPrice
4036305,119900,1936,3,2,2,1920,7000,1448,151,129900
4034062,73700,1696,2,1,1,1916,6860,664,245,73700
4038971,104500,1196,3,2,2,1890,7000,1216,51,104500
4034561,114900,864,2,1,2,1940,5000,1092,218,114900
4035526,215000,3300,4,3,2,2001,,2850,174,215000
4035472,169500,2069,4,2,2,1886,6000,1584,174,179500
4038776,39500,1581,3,1,0,1903,3200,575,57,42000
4034551,249900,2704,3,3,4,1990,,2590,212,249900
4018997,77500,3296,4,3,1,1870,4760,1522,892,121900
4037720,126900,1548,2,2,1,1890,6545,746,101,126900
4038737,111900,1501,,,1,1880,7000,1090,62,111900
4031415,99900,1058,2,1,1,1880,4284,1056,370,99900
4029698,92900,2056,2,1,0,1910,2555,684,465,99900
4036489,152400,4184,6,3,2,1890,8211,1834,146,164900
4038434,99900,2096,3,1,0,1887,4356,1244,70,99900
4038777,135900,1420,3,1,2,1948,8424,1528,57,135900
4035331,92900,685,2,2,1,1920,8195,670,181,92900
4036837,119900,1936,3,2,2,1920,7000,1448,150,129900
4039240,104900,1450,3,1,1,1896,7315,1094,41,109900
4037211,137500,2064,4,2,2,1976,5650,1922,124,137500
4033618,53900,780,2,1,1,1885,3750,1082,280,59000
4035756,284500,3874,5,4,2,1993,12600,3526,173,295000
4037568,94900,1054,3,1,1,1931,4000,824,104,97000
4034031,159900,1226,2,2,2,2005,1900,1960,247,174900
4038959,129900,1152,2,1,1,1949,9000,1370,45,129900
4038423,116900,1499,3,2,1,1931,7500,1359,70,116900
4031506,69900,1248,1,1,0,1947,12412,804,325,110000
4039183,117000,1168,2,1,2,1885,4800,1046,37,117000
4039219,159900,2273,4,2,2,1900,,1496,36,159900
4039134,169900,2726,3,2,2,1963,9750,2168,36,169900
4022404,168541,1326,1,2,0,2010,5640,,792,239900
4036040,79900,960,3,1,0,1886,,1256,156,84900
4035713,69900,1189,1,1,1,1923,7500,960,169,79900
4038214,134900,2107,3,2,2,1972,8625,1608,86,144900
4038808,90000,1182,2,1,1,1870,6300,980,54,90000
4038727,94900,2137,4,3,2,1890,7500,1312,56,109900
4038369,209900,2190,3,1,2,1962,,1374,72,214900
4037731,137000,2288,2,2,2,1923,5080,1308,105,137000
4034498,234900,2112,3,2,5,1973,,2132,88,239900
4016077,355000,3454,,,,,3484,2416,1056,360000
4038913,229000,2248,3,2,2,1995,,2798,48,229000
4036742,100000,1511,3,2,3,1882,6400,1160,142,111600
4037874,125000,1105,2,1.5,1,1970,5969,1180,92,125000
4039153,312900,4212,3,3,3,1988,,3782,49,329900
4039973,44200,1888,1,1,1,1900,3500,821,3,44200
4037824,68500,2312,2,2,2,1883,8085,1370,99,83500
4033126,55000,1194,2,1,1,1900,4250,825,304,83000
4039889,129900,1179,2,2,0,1924,6604,928,5,129900
4038297,169900,1621,2,2,2,1973,,2168,85,179900
4037728,219000,1850,3,2,2,2012,,1274,98,219900
